epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1910.34,0.88083,0.42895,0.93359,0.87498,0.79908,0.84885,0.56699,1.06021,0.48946,1.08452,0.00055188,0.00055188,0.00055188
64,1944.23,0.86596,0.4279,0.9157,0.88509,0.7552,0.81296,0.54251,1.01232,0.50428,1.04594,0.000537733,0.000537733,0.000537733
65,1976.22,0.8547,0.42542,0.92624,0.77143,0.77937,0.79863,0.52293,1.06157,0.50824,1.09085,0.000523586,0.000523586,0.000523586
66,2003.76,0.83806,0.4263,0.92326,0.8427,0.76652,0.82511,0.54236,1.07575,0.51623,1.09617,0.000509438,0.000509438,0.000509438
67,2034.48,0.8363,0.41357,0.92771,0.80383,0.75308,0.79635,0.52916,1.06787,0.53678,1.11039,0.000495291,0.000495291,0.000495291
68,2063.61,0.83863,0.41933,0.9181,0.83489,0.76222,0.79079,0.52485,1.06118,0.51979,1.10065,0.000481144,0.000481144,0.000481144
69,2094.12,0.83509,0.41755,0.91901,0.84884,0.71243,0.76785,0.50855,1.05394,0.54593,1.09077,0.000466997,0.000466997,0.000466997
70,2124.78,0.8611,0.42175,0.92332,0.84461,0.69818,0.7891,0.5406,1.0832,0.51008,1.11706,0.00045285,0.00045285,0.00045285
71,2153.14,0.84445,0.41589,0.91507,0.84142,0.78421,0.81687,0.54753,1.06035,0.50408,1.07997,0.000438703,0.000438703,0.000438703
72,2183.81,0.83489,0.41521,0.91649,0.76502,0.76602,0.81383,0.54632,1.06551,0.49537,1.09593,0.000424556,0.000424556,0.000424556
73,2215.69,0.79571,0.40337,0.9136,0.84115,0.72689,0.7934,0.52715,1.06333,0.51389,1.09276,0.000410409,0.000410409,0.000410409
74,2245.39,0.80245,0.40274,0.91455,0.77181,0.75801,0.80584,0.52321,1.06795,0.51299,1.09373,0.000396262,0.000396262,0.000396262
75,2276.62,0.81749,0.40696,0.90956,0.84233,0.76766,0.80052,0.5241,1.08077,0.52545,1.0969,0.000382115,0.000382115,0.000382115
76,2305.38,0.78408,0.39324,0.90508,0.78675,0.7183,0.77958,0.52319,1.05372,0.53594,1.08349,0.000367967,0.000367967,0.000367967
77,2335.85,0.79095,0.39158,0.90369,0.81763,0.75093,0.80127,0.52655,1.08001,0.52586,1.09453,0.00035382,0.00035382,0.00035382
78,2366.83,0.78322,0.39099,0.90802,0.87058,0.74909,0.81415,0.54931,1.06077,0.50706,1.08999,0.000339673,0.000339673,0.000339673
79,2394.48,0.78341,0.3854,0.90342,0.83483,0.71762,0.80769,0.54438,1.03919,0.50012,1.07154,0.000325526,0.000325526,0.000325526
80,2425.71,0.78883,0.38657,0.90281,0.90352,0.68382,0.79447,0.52647,1.05397,0.50647,1.08292,0.000311379,0.000311379,0.000311379
81,2455.92,0.77386,0.38155,0.89975,0.79516,0.75661,0.79112,0.54415,1.05266,0.4897,1.08915,0.000297232,0.000297232,0.000297232
